DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Velocity, Heading
20:47.4,,,34.101,38.822,1025.316,346.662138,0.836892,0.102905,57.817696,14.410344,133.833984,-0.018513,0.000486,0.941888,-0.012134,-0.001163,-0.005275,0.278,303.2420306
20:47.7,,,34.154,38.557,1025.324,346.629646,0.834051,0.068019,118.883667,29.605946,274.790161,-0.014316,0.001214,0.947006,0.001184,-0.001703,-0.002651,0.278,303.2420306
20:47.8,,,34.101,39.052,1025.326,346.615524,0.857954,0.080149,143.014542,35.895218,332.799347,-0.015797,0.062155,0.942132,0.001175,0.005766,-0.004095,0.278,0
20:48.0,,,34.065,39.125,1025.323,346.865283,0.901446,0.192689,153.258133,38.183205,356.551697,-0.01407,-0.000724,0.944569,-0.0003,0.002331,-0.004559,0.278,180
20:48.2,,,34.101,38.65,1025.312,346.600584,0.921225,0.11363,157.464493,39.124496,366.207214,-0.012095,0.000971,0.944082,0.000817,0.003629,-0.003718,0.278,180
20:48.3,,,34.118,37.869,1025.321,346.55968,0.897752,0.123852,159.320587,39.550453,369.957245,-0.011601,-0.000724,0.947493,0.002146,0.003743,-0.003544,0.173,180
20:48.5,,,34.083,38.739,1025.32,346.522572,0.930138,0.105084,159.8125,39.764992,371.375305,-0.010861,0.001214,0.946031,-0.000804,0.007833,-0.003895,0.173,180
20:48.7,,,34.065,38.902,1025.328,346.326956,0.936666,0.113784,160.299026,40.083843,372.157318,-0.011108,0.000728,0.947006,0.005317,0.002241,-0.05969,0.173,180
20:48.8,,,34.207,39.433,1025.319,346.125335,0.928746,0.089179,160.52774,39.783897,372.72879,-0.00938,0.061427,0.949443,-0.001376,0.004386,0.00134,0.173,180
20:49.0,,,34.136,39.404,1025.305,346.343126,0.901445,0.165164,160.38887,40.224846,372.589203,-0.009873,-0.004825,0.945544,0.003026,0.002899,0.00234,0.173,180
20:49.2,,,34.118,39.198,1025.3,346.333231,0.890683,0.151816,160.51355,40.149986,372.592224,-0.00938,-0.002895,0.946762,-0.000021,0.004911,0.002201,0.173,180
20:49.3,,,34.03,39.101,1025.299,346.369455,0.874063,0.141356,160.37001,40.003765,372.62146,-0.010367,-0.008443,0.947493,0.001426,-0.000119,0.002239,0.17,180
20:49.5,,,34.101,39.281,1025.305,346.33155,0.862756,0.121582,160.55455,40.031281,372.760681,-0.011601,0.000243,0.947006,-0.002471,-0.001382,0.002181,0.17,180
20:49.7,,,34.03,39.012,1025.304,346.391815,0.850039,0.12602,160.69371,39.830997,372.368835,-0.016044,0,0.944569,-0.000676,0.001045,0.001638,0.17,180
20:49.8,,,34.065,39.606,1025.299,346.430328,0.885998,0.127106,160.635239,39.823105,372.57843,-0.01481,0.003642,0.946762,0.002012,0.001232,0.002746,0.17,180
20:50.0,,,34.065,38.533,1025.303,346.51844,0.897271,0.132146,160.255127,39.89468,372.295868,-0.017772,0.002428,0.94725,0.000202,-0.003194,0.00161,0.17,180
20:50.2,,,34.065,39.42,1025.3,346.534594,0.920968,0.154191,160.305893,39.795933,372.179749,-0.020981,0.002185,0.946519,-0.000826,0.001247,-0.009382,0.17,180
20:50.3,,,33.994,39.204,1025.308,346.581767,0.971047,0.155647,160.389572,39.796822,372.247009,-0.018019,0.005099,0.947737,-0.002264,0.001366,0.000952,0.17,180
20:50.5,,,34.083,39.457,1025.321,346.613355,0.990924,0.168539,160.295197,39.769917,372.437408,-0.018019,0.003642,0.947006,0.000709,0.001818,-0.000047,0.17,180
20:50.7,,,34.083,38.952,1025.321,346.659432,0.997204,0.163281,160.287537,39.80064,372.64801,-0.015797,0.0017,0.946519,0.002213,0.000257,0.001979,0.17,180
20:50.8,,,34.047,39.54,1025.325,346.683366,0.993854,0.171679,160.595795,39.738876,373.063232,-0.015797,0.003885,0.947006,0.001772,0.003203,0.000679,0.247,180
20:51.0,,,34.154,39.51,1025.323,346.729501,1.005739,0.193608,160.579529,39.823849,372.366089,-0.016785,0.001942,0.946762,0.004338,0.000985,0.002732,0.247,180
20:51.2,,,34.154,39.304,1025.333,346.742716,1.012964,0.191922,160.389938,39.817398,372.31131,-0.015797,0.002428,0.946519,-0.000272,0.003634,0.003514,0.247,180
20:51.3,,,34.154,38.726,1025.332,346.77863,1.028,0.204663,160.317764,39.685085,372.469543,-0.015304,0.0017,0.947006,0.002044,0.002018,0.002442,0,0
20:51.5,,,34.065,39.135,1025.331,346.789637,1.026923,0.212161,160.376724,39.672626,372.890045,-0.015797,0.001942,0.946031,0.002885,0.000429,0.002392,0,180
20:51.6,,,34.083,40.928,1025.321,346.800733,1.036753,0.196169,160.340057,39.821182,371.955841,-0.016538,0.001942,0.946275,0.000762,-0.001756,0.000222,0,180
20:51.8,,,34.136,39.859,1025.316,346.804769,1.038319,0.190724,160.358826,39.917267,371.725311,-0.015797,0.002671,0.946275,-0.000474,0.000021,0.001094,0,180
20:52.0,,,34.118,39.626,1025.317,346.810077,1.041369,0.187978,160.577606,40.148842,372.374756,-0.01407,0.001942,0.94725,0.00286,0.002157,0.001902,0,180
20:52.1,,,34.118,40.081,1025.315,346.802345,1.031185,0.183776,160.676102,39.901836,372.565033,-0.016291,0.002428,0.946519,-0.000792,0.000338,0.001261,0,180
20:52.3,,,34.189,39.942,1025.318,346.820787,1.029177,0.190682,160.437408,39.725784,372.120026,-0.014563,0.001214,0.946031,0.000998,0.003624,0.000904,0,180
20:52.5,,,34.154,39.417,1025.321,346.831238,1.020502,0.184854,160.470886,39.736393,372.298218,-0.01407,0.0017,0.947737,-0.000189,0.001203,-0.000963,0,180
20:52.6,,,34.172,39.869,1025.336,346.83277,1.006027,0.1727,160.209534,39.723186,372.571503,-0.014563,0.002671,0.946031,0.001059,0.002724,-0.000053,0,180
20:52.8,,,34.154,39.759,1025.347,346.837287,1.015374,0.152409,160.23616,39.786388,372.512146,-0.015797,0.0017,0.947737,-0.000679,-0.000442,0.00412,0,180
20:53.0,,,34.243,34.508,1025.352,346.850469,0.985519,0.151006,160.213898,39.868931,372.401154,-0.01481,0.002428,0.945787,-0.001299,0.001968,-0.001096,0,180
20:53.1,,,34.207,40.34,1025.359,346.847766,0.99157,0.165898,160.121918,39.981575,371.951965,-0.013823,0.001942,0.948224,-0.001918,0.000092,0.001319,0,180
20:53.3,,,34.207,40.214,1025.361,346.854077,0.975519,0.159526,160.178146,40.070854,371.678925,-0.01481,0.001457,0.946519,-0.001516,0.002818,0.001869,0,180
20:53.4,,,34.136,38.606,1025.364,346.835084,0.960768,0.167041,160.304047,40.269466,372.082123,-0.015797,0.002185,0.946519,0.000271,0.002787,0.000669,0,180
20:53.6,,,34.101,39.945,1025.371,346.826389,0.959784,0.166222,160.179443,40.101261,371.930847,-0.014563,0.0017,0.947006,0.003161,-0.001751,0.002441,0,180
20:53.8,,,34.136,39.782,1025.371,346.181358,0.970933,0.181333,160.144547,40.025326,372.200836,-0.015057,0.003642,0.947737,0.005231,-0.000535,-0.021937,0.105,180
20:53.9,,,34.189,39.626,1025.358,346.105204,0.93334,0.194305,160.115402,39.825993,372.242004,-0.014316,0.002185,0.946031,0.000186,0.001645,0.005809,0.105,180
20:54.1,,,34.083,39.998,1025.359,346.209662,0.937015,0.178706,160.101562,39.811779,371.938873,-0.016291,0.001942,0.946031,-0.000963,0.001021,0.005743,0.105,180
20:54.3,,,34.189,40.334,1025.347,346.301824,0.949264,0.172606,159.856705,39.815308,371.752594,-0.015057,0.003399,0.947006,-0.001024,-0.000312,0.007183,0.105,180
20:54.4,,,34.136,39.932,1025.347,346.384456,0.965064,0.158966,159.757309,39.809277,371.945526,-0.014563,0.002914,0.9453,-0.001604,0.001111,0.003494,0.173,180
20:54.6,,,34.136,39.025,1025.34,346.465931,0.967736,0.177148,159.608871,39.654903,372.009338,-0.015797,0.003399,0.945787,0.001662,0.001683,0.003476,0.173,180
20:54.8,,,34.172,40.088,1025.331,346.540019,0.979831,0.164165,159.644806,39.818737,371.983185,-0.017032,0.002185,0.945544,-0.00015,-0.003753,0.004374,0.173,180
20:54.9,,,34.207,39.985,1025.33,346.581681,0.975571,0.160178,159.693085,39.658691,372.704437,-0.016291,0.002185,0.945544,0.001045,0.001164,0.003541,0.173,180
20:55.1,,,34.225,40.081,1025.319,346.62953,0.961747,0.147576,159.610092,39.399334,372.547974,-0.017525,0.0017,0.94725,-0.000671,0.002132,0.002707,0.173,180
20:55.3,,,34.26,40.377,1025.313,346.68535,0.97296,0.141412,159.821167,39.705967,372.431396,-0.016291,0.001457,0.946762,0.001405,0.001356,0.002145,0.173,180
20:55.4,,,34.136,39.918,1025.324,346.722053,0.985589,0.156666,159.920563,39.700733,372.366516,-0.015304,0.002185,0.947493,-0.000468,0.000052,0.004057,0.216,180
20:55.6,,,34.189,40.51,1025.318,346.755634,1.013517,0.160123,159.989883,39.681526,372.083282,-0.016044,0.001214,0.946031,0.00139,-0.00031,0.001728,0.216,180
20:55.8,,,34.26,40.367,1025.314,346.785231,1.009076,0.136541,160.014465,39.723976,371.998383,-0.016538,0.001214,0.946762,0.001477,0.002369,0.003367,0.216,180
